nb_candidats_g;note_a_l_ecrit_g;taux_d_acces_6eme_3eme;part_presents_3eme_ordinaire_total;taux_de_reussite_g
100;11.7;93.0;94.0;96.0
112;10.8;95.0;97.0;86.0
102;9.6;83.0;93.0;79.0
235;14.6;93.0;98.0;100.0
58;9.9;85.0;85.0;88.0
67;9.9;89.0;92.0;94.0
111;12.3;90.0;93.0;93.0
130;12.1;95.0;98.0;91.0
66;13.8;96.0;97.0;98.0
86;11.2;80.0;100.0;98.0
49;10.5;76.0;90.0;94.0
57;12.0;98.0;98.0;93.0
88;10.5;92.0;98.0;92.0
86;10.6;91.0;99.0;87.0
69;9.6;86.0;96.0;90.0
90;9.7;88.0;92.0;77.0
45;10.9;86.0;85.0;87.0
80;9.6;91.0;89.0;84.0
133;11.2;92.0;100.0;89.0
148;14.4;85.0;99.0;99.0
77;9.1;95.0;100.0;74.0
101;11.2;91.0;94.0;94.0
118;11.3;96.0;98.0;96.0
167;9.9;95.0;97.0;86.0
175;11.3;93.0;92.0;85.0
143;10.6;97.0;96.0;92.0
161;10.2;93.0;95.0;80.0
101;9.6;88.0;98.0;78.0
137;11.0;93.0;99.0;88.0
205;10.5;94.0;94.0;93.0
139;11.7;95.0;99.0;96.0
174;10.4;92.0;99.0;89.0
91;10.5;93.0;100.0;84.0
160;11.7;93.0;96.0;95.0
157;11.4;97.0;98.0;96.0
163;9.3;93.0;94.0;91.0
103;11.5;92.0;93.0;90.0
92;10.2;94.0;98.0;88.0
104;13.7;93.0;99.0;100.0
297;14.0;92.0;98.0;100.0
95;10.2;93.0;93.0;86.0
137;11.2;95.0;99.0;93.0
107;11.7;97.0;98.0;88.0
104;10.9;87.0;99.0;93.0
119;10.7;93.0;98.0;92.0
113;11.1;94.0;100.0;96.0
87;10.7;90.0;96.0;92.0
123;9.3;85.0;96.0;82.0
241;12.6;95.0;98.0;90.0
140;10.2;88.0;97.0;78.0
113;8.3;87.0;96.0;76.0
121;9.6;88.0;98.0;86.0
127;9.7;94.0;93.0;89.0
113;11.8;87.0;98.0;89.0
